id,Title,Date,Permalink,"Research Topics","Press Types",Categories
3532,"CIERA Presentations at National Science Foundation Site Visit",04/29/2016,https://ciera.northwestern.edu/2016/04/29/ciera-presentations-at-national-science-foundation-site-visit/,,"CIERA Stories|Northwestern Press",Event
3534,"CIERA Contributes to Northwestern’s Computational Research Day",04/28/2016,https://ciera.northwestern.edu/2016/04/28/ciera-contributes-to-northwesterns-computational-research-day-2/,,"CIERA Stories|Northwestern Press","Data Science &amp; Computing|Event|Interdisciplinary"
3537,"CIERA’s Carl Rodriguez Gives TEDx Talk",04/25/2016,https://ciera.northwestern.edu/2016/04/25/cieras-carl-rodriguez-gives-tedx-talk/,"Gravitational Waves &amp; Multi-Messenger Astronomy","CIERA Stories|Northwestern Press",Achievement|Education|Event
3539,"CIERA Postdoctoral Fellow Laura Fissel Wins Prestigious Jansky Fellowship",04/22/2016,https://ciera.northwestern.edu/2016/04/22/ciera-postdoctoral-fellow-laura-fissel-wins-prestigious-jansky-fellowship/,"Life &amp; Death of Stars|Stellar Dynamics &amp; Stellar Populations","CIERA Stories",Achievement|Science
3542,"Roger Malina Discusses Hybrid Art-Sciences Practices at CIERA Spring Interdisciplinary Colloquium",04/03/2016,https://ciera.northwestern.edu/2016/04/03/roger-malina-discusses-hybrid-art-sciences-practices-at-ciera-spring-interdisciplinary-colloquium/,,"CIERA Stories",Event|Interdisciplinary
3549,"CIERA’s Vicky Kalogera Named a ""Top Ten Northwestern Professor"" by College Magazine",03/31/2016,https://ciera.northwestern.edu/2016/03/31/cieras-vicky-kalogera-named-a-top-ten-northwestern-professor-by-college-magazine/,,"External Press",Achievement
3551,"CIERA’s Shane Larson Leads Gravitational Waves Discussion at Science Café",03/29/2016,https://ciera.northwestern.edu/2016/03/29/cieras-shane-larson-leads-gravitational-waves-discussion-at-science-cafe/,"Gravitational Waves &amp; Multi-Messenger Astronomy","CIERA Stories",Education|Event
3554,"Kick-off of New Outreach Event Series: Astronomy on Tap Chicago",03/01/2016,https://ciera.northwestern.edu/2016/03/01/kick-off-of-new-outreach-event-series-astronomy-on-tap-chicago/,,"CIERA Stories",Event|Outreach
3556,"The Chicago Network’s Panel on Space Encourages Girls to Pursue Careers in Science & Technology",02/28/2016,https://ciera.northwestern.edu/2016/02/28/the-chicago-networks-panel-on-space-encourages-girls-to-pursue-careers-in-science-technology/,,"CIERA Stories",Event
3558,"""Chicago Tonight"" Features CIERA's Vicky Kalogera and Shane Larson Discussing Major Research Discovery",02/20/2016,https://ciera.northwestern.edu/2016/02/20/chicago-tonight-features-cieras-vicky-kalogera-and-shane-larson-discussing-major-research-discovery/,"Gravitational Waves &amp; Multi-Messenger Astronomy","CIERA Stories",Event|Outreach
3562,"CIERA Contributes to the Historic First Detection of Gravitational Waves",02/15/2016,https://ciera.northwestern.edu/2016/02/15/ciera-contributes-to-the-historic-first-detection-of-gravitational-waves/,"Gravitational Waves &amp; Multi-Messenger Astronomy","CIERA Stories|External Press|Northwestern Press",Science
3563,"Largest Ever Event for Graduate Student Speaker Series",02/11/2016,https://ciera.northwestern.edu/2016/02/11/largest-ever-event-for-graduate-student-speaker-series/,,"CIERA Stories",Education|Event|Outreach
3604,"Olivier Guyon Looks to Characterize Habitable Exoplanets: CIERA Winter Interdisciplinary Colloquium",02/04/2016,https://ciera.northwestern.edu/2016/02/04/olivier-guyon-looks-to-characterize-habitable-exoplanets-ciera-winter-interdisciplinary-colloquium/,,"CIERA Stories",Event|Interdisciplinary
3609,"CIERA REU Student Eryn Cangi Wins Chambliss Medal for Research Poster at AAS",01/30/2016,https://ciera.northwestern.edu/2016/01/30/ciera-reu-student-eryn-cangi-wins-chambliss-medal-for-research-poster-at-aas/,,"CIERA Stories",Achievement|Event
3612,"CIERA's Geller and Faucher-Giguère Contribute to New Study in ""Nature""",01/29/2016,https://ciera.northwestern.edu/2016/01/29/cieras-geller-and-faucher-giguere-contribute-to-new-study-in-nature/,"Stellar Dynamics &amp; Stellar Populations","CIERA Stories",Achievement|Science
3614,"New Monthly Night at Dearborn Observatory with CIERA Astronomers",01/27/2016,https://ciera.northwestern.edu/2016/01/27/new-monthly-night-at-dearborn-observatory-with-ciera-astronomers/,,"CIERA Stories",Event
3617,"American Astronomical Society to Lead WorldWide Telescope",01/10/2016,https://ciera.northwestern.edu/2016/01/10/american-astronomical-society-to-lead-worldwide-telescope/,,"CIERA Stories|External Press",Education|Outreach|Science
3620,"CIERA Grad Student Brings the Stars to Her Hometown",01/05/2016,https://ciera.northwestern.edu/2016/01/05/ciera-grad-student-brings-the-stars-to-her-hometown/,,"CIERA Stories",Achievement|Education|Outreach
3622,"Integrated Data Science Certificate in Development at CIERA",01/01/2016,https://ciera.northwestern.edu/2016/01/01/integrated-data-science-certificate-in-development-at-ciera/,,"CIERA Stories","Achievement|Data Science &amp; Computing|Education"
3624,"AAAS Fellow Jeremy Ward Visits CIERA",12/06/2015,https://ciera.northwestern.edu/2015/12/06/aaas-fellow-jeremy-ward-visits-ciera/,,"CIERA Stories",Event
3629,"CIERA’s Raffaella Margutti Named Sloan Research Fellow",02/19/2019,https://ciera.northwestern.edu/2019/02/19/cieras-raffaella-margutti-named-sloan-research-fellow/,,"External Press|Northwestern Press",Achievement
3634,"New York Times Discusses Importance of ‘Behind the Scenes’ Science",02/20/2019,https://ciera.northwestern.edu/2019/02/20/new-york-times-discusses-importance-of-behind-the-scenes-science/,"Gravitational Waves &amp; Multi-Messenger Astronomy","External Press",Interdisciplinary|Science
3637,"Professors Novak & Sageman Named to 2015 Faculty Honor Roll",11/30/2015,https://ciera.northwestern.edu/2015/11/30/professors-novak-sageman-named-to-2015-faculty-honor-roll/,,"CIERA Stories",Achievement
3639,"CIERA's Shane Larson Participates in Gravitational Wave Google Hangout",11/25/2015,https://ciera.northwestern.edu/2015/11/25/cieras-shane-larson-participates-in-gravitational-wave-google-hangout/,"Gravitational Waves &amp; Multi-Messenger Astronomy","CIERA Stories",Education|Event|Outreach
3642,"CIERA's Shane Larson Joins 2015-2016 WCAS Seminar Series for Staff",11/22/2015,https://ciera.northwestern.edu/2015/11/22/cieras-shane-larson-joins-2015-2016-wcas-seminar-series-for-staff/,"Gravitational Waves &amp; Multi-Messenger Astronomy","Northwestern Press",Education|Event
3644,"CIERA Researchers Geller, Hwang and Rasio Win Award for ""Capturing the Beauty of Science"", in the 2015 Northwestern Scientific Images Contest",11/19/2015,https://ciera.northwestern.edu/2015/11/19/ciera-researchers-geller-hwang-and-rasio-win-award-for-capturing-the-beauty-of-science-in-the-2015-northwestern-scientific-images-contest/,,"Northwestern Press",Achievement|Interdisciplinary
